Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial
Andaman & Nicobar Islands,2001,Rape,01. Rape,5,2,3,0,0,0,5,0,1,3,34,36,3,3,5,0,0,39
Andhra Pradesh,2001,Rape,01. Rape,731,22,769,35,197,74,791,3,393,390,1974,2170,871,769,928,2,0,2937
Arunachal Pradesh,2001,Rape,01. Rape,1,2,25,0,2,0,27,0,18,12,282,260,33,25,3,0,0,285
Assam,2001,Rape,01. Rape,334,95,495,10,101,45,590,0,1045,863,1964,1914,817,495,435,0,0,2409
Bihar,2001,Rape,01. Rape,406,141,685,0,155,105,826,0,488,531,3185,3061,888,685,561,0,0,3746
Chandigarh,2001,Rape,01. Rape,9,0,16,0,2,2,16,0,1,1,34,29,18,16,11,0,0,45
Chhattisgarh,2001,Rape,01. Rape,520,15,976,1,158,11,991,1,86,130,3966,3669,959,976,678,0,0,4645
Dadra & Nagar Haveli,2001,Rape,01. Rape,0,0,8,0,1,0,8,0,1,3,21,14,6,8,1,0,0,22
Daman & Diu,2001,Rape,01. Rape,3,0,1,0,0,0,1,0,0,1,1,3,0,1,3,0,0,4
Delhi,2001,Rape,01. Rape,80,65,361,0,29,1,426,0,197,243,1651,1399,381,361,109,0,0,1760
Goa,2001,Rape,01. Rape,10,1,14,0,10,0,15,0,5,8,47,53,12,14,20,0,0,67
Gujarat,2001,Rape,01. Rape,150,10,288,7,26,10,298,1,24,47,1948,1843,286,288,176,0,0,2131
Haryana,2001,Rape,01. Rape,291,6,341,1,94,54,347,0,22,25,636,681,398,341,385,0,0,1022
Himachal Pradesh,2001,Rape,01. Rape,75,0,110,0,30,25,110,0,35,46,389,384,124,110,105,0,0,494
Jammu & Kashmir,2001,Rape,01. Rape,98,4,147,5,7,26,151,0,49,57,570,533,169,147,105,0,0,680
Jharkhand,2001,Rape,01. Rape,236,49,404,0,99,11,453,0,185,82,1034,965,567,404,335,0,0,1369
Karnataka,2001,Rape,01. Rape,154,17,271,8,41,24,288,4,99,122,1132,1064,293,271,195,0,0,1335
Kerala,2001,Rape,01. Rape,111,11,510,3,32,22,521,10,505,496,2190,1826,562,510,143,0,0,2336
Lakshadweep,2001,Rape,01. Rape,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
Madhya Pradesh,2001,Rape,01. Rape,2052,188,2616,25,589,16,2804,9,261,264,6721,6771,2851,2616,2641,0,25,9387
Maharashtra,2001,Rape,01. Rape,727,21,1289,17,125,20,1310,0,230,258,9876,9456,1302,1289,852,0,0,10745
Manipur,2001,Rape,01. Rape,1,20,4,0,0,0,24,0,33,37,39,36,20,4,1,0,0,40
Meghalaya,2001,Rape,01. Rape,11,8,21,0,0,0,29,0,64,67,236,226,26,21,11,0,0,247
Mizoram,2001,Rape,01. Rape,10,0,51,0,32,0,51,0,14,13,96,87,52,51,42,0,0,138
Nagaland,2001,Rape,01. Rape,2,3,8,1,2,0,11,0,19,13,48,45,17,8,4,0,0,53
Odisha,2001,Rape,01. Rape,408,22,769,0,117,40,791,1,268,310,2354,2110,790,769,525,0,0,2879
Puducherry,2001,Rape,01. Rape,0,0,8,0,0,0,8,0,4,3,16,8,9,8,0,0,0,16
Punjab,2001,Rape,01. Rape,171,29,239,1,81,32,268,0,75,77,235,249,298,239,252,0,0,488
Rajasthan,2001,Rape,01. Rape,700,7,771,13,266,320,778,0,78,127,2614,2822,1049,771,966,0,0,3593
Sikkim,2001,Rape,01. Rape,2,0,5,0,1,0,5,0,3,0,7,5,8,5,3,0,0,10
Tamil Nadu,2001,Rape,01. Rape,160,18,397,3,84,30,415,11,247,280,1288,1138,423,397,244,0,0,1535
Tripura,2001,Rape,01. Rape,38,5,63,1,13,0,68,0,67,33,129,118,102,63,51,0,0,181
Uttar Pradesh,2001,Rape,01. Rape,622,152,1613,15,697,215,1765,0,192,214,5616,5337,1958,1613,1319,0,0,6950
Uttarakhand,2001,Rape,01. Rape,34,3,58,2,30,10,61,0,9,6,157,165,74,58,64,0,0,223
West Bengal,2001,Rape,01. Rape,517,133,717,0,45,1,850,0,777,919,5081,4926,709,717,562,0,0,5643
Andaman & Nicobar Islands,2002,Rape,01. Rape,2,0,3,0,1,0,3,0,0,1,34,34,2,3,3,0,0,37
Andhra Pradesh,2002,Rape,01. Rape,650,23,881,20,120,74,904,0,417,393,2065,1974,1002,881,770,0,0,2855
Arunachal Pradesh,2002,Rape,01. Rape,3,5,32,0,0,0,37,0,19,18,311,282,38,32,3,0,0,314
Assam,2002,Rape,01. Rape,247,134,624,13,99,25,758,0,1232,1045,2229,1964,970,624,346,0,0,2588
Bihar,2002,Rape,01. Rape,383,128,687,0,116,114,815,0,599,488,3373,3185,1040,687,499,0,0,3872
Chandigarh,2002,Rape,01. Rape,5,1,12,0,1,0,13,0,6,1,40,34,18,12,6,0,0,46
Chhattisgarh,2002,Rape,01. Rape,1081,4,986,140,585,21,990,5,62,86,3146,3966,992,986,1666,0,0,4952
Dadra & Nagar Haveli,2002,Rape,01. Rape,12,0,3,0,2,0,3,0,2,1,10,21,4,3,14,0,0,24
Daman & Diu,2002,Rape,01. Rape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Rape,01. Rape,344,21,388,0,98,3,409,1,187,197,1597,1651,403,388,442,0,0,2039
Goa,2002,Rape,01. Rape,6,2,8,0,8,0,10,0,7,5,41,47,12,8,14,0,0,55
Gujarat,2002,Rape,01. Rape,184,14,244,13,39,4,258,0,29,24,1956,1948,267,244,223,0,0,2192
Haryana,2002,Rape,01. Rape,288,3,316,1,92,54,319,0,10,22,571,636,361,316,380,0,0,952
Himachal Pradesh,2002,Rape,01. Rape,86,1,112,1,22,14,113,0,45,35,392,389,137,112,108,0,0,501
Jammu & Kashmir,2002,Rape,01. Rape,125,14,156,3,11,23,170,0,48,49,587,570,192,156,136,0,0,726
Jharkhand,2002,Rape,01. Rape,438,65,589,9,132,31,654,0,342,230,2277,2267,797,589,570,0,0,2856
Karnataka,2002,Rape,01. Rape,190,9,277,1,35,6,286,4,95,99,1183,1132,292,277,225,0,0,1409
Kerala,2002,Rape,01. Rape,141,10,445,7,29,13,455,4,532,505,2458,2190,499,445,170,0,0,2635
Lakshadweep,2002,Rape,01. Rape,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
Madhya Pradesh,2002,Rape,01. Rape,1837,50,2804,32,548,102,2854,3,193,261,7106,6721,2891,2804,2385,2,0,9523
Maharashtra,2002,Rape,01. Rape,1011,32,1288,16,163,17,1320,0,245,230,9974,9876,1352,1288,1174,0,0,11164
Manipur,2002,Rape,01. Rape,0,9,7,0,0,0,16,1,30,33,46,39,14,7,0,0,0,46
Meghalaya,2002,Rape,01. Rape,2,7,17,1,0,0,24,0,78,64,250,236,38,17,2,0,0,253
Mizoram,2002,Rape,01. Rape,10,2,53,0,22,0,55,0,32,11,106,85,76,53,32,0,0,138
Nagaland,2002,Rape,01. Rape,0,2,14,0,7,0,16,0,20,19,55,48,17,14,7,0,0,62
Odisha,2002,Rape,01. Rape,368,10,633,0,105,35,643,0,281,268,2514,2354,691,633,473,0,0,2987
Puducherry,2002,Rape,01. Rape,1,0,3,0,2,0,3,0,7,4,16,16,6,3,3,0,0,19
Punjab,2002,Rape,01. Rape,185,14,255,0,76,31,269,0,74,75,229,235,299,255,261,0,0,490
Rajasthan,2002,Rape,01. Rape,746,10,668,13,287,350,678,0,101,78,2236,2614,1051,668,1033,0,0,3282
Sikkim,2002,Rape,01. Rape,4,4,3,0,4,0,7,0,2,3,2,7,6,3,8,0,0,10
Tamil Nadu,2002,Rape,01. Rape,324,3,471,3,121,28,474,7,271,247,1311,1288,534,471,445,0,1,1759
Tripura,2002,Rape,01. Rape,43,12,95,1,23,0,107,0,68,67,157,129,108,95,66,0,0,224
Uttar Pradesh,2002,Rape,01. Rape,767,87,1282,20,708,184,1369,0,54,192,5403,5616,1415,1282,1475,0,0,6898
Uttarakhand,2002,Rape,01. Rape,35,3,69,0,32,12,72,0,14,9,159,157,89,69,67,0,0,226
West Bengal,2002,Rape,01. Rape,373,113,842,0,63,6,955,0,575,777,5487,5081,759,842,436,0,0,5923
Andaman & Nicobar Islands,2003,Rape,01. Rape,3,0,1,0,3,0,1,0,1,0,29,34,2,1,6,0,0,35
Andhra Pradesh,2003,Rape,01. Rape,641,11,823,5,122,75,834,8,446,417,2120,2065,946,823,763,0,0,2888
Arunachal Pradesh,2003,Rape,01. Rape,0,6,29,1,0,0,35,0,15,19,339,311,31,29,0,0,0,340
Assam,2003,Rape,01. Rape,355,181,769,17,105,70,950,4,1303,1232,2521,2229,1095,769,460,0,0,2998
Bihar,2003,Rape,01. Rape,493,119,592,0,148,99,711,0,774,599,3324,3373,985,592,641,0,0,3965
Chandigarh,2003,Rape,01. Rape,10,1,21,0,7,0,22,0,2,6,44,40,18,21,17,0,0,61
Chhattisgarh,2003,Rape,01. Rape,445,13,838,51,252,19,851,2,88,62,3237,3147,898,838,697,0,0,3985
Dadra & Nagar Haveli,2003,Rape,01. Rape,2,1,0,0,1,1,1,0,1,2,7,10,1,0,3,0,0,10
Daman & Diu,2003,Rape,01. Rape,0,1,2,0,0,0,3,0,2,0,3,1,5,2,0,0,0,3
Delhi,2003,Rape,01. Rape,403,27,460,0,114,3,487,4,181,187,1540,1597,490,460,517,0,2,2057
Goa,2003,Rape,01. Rape,11,2,13,1,7,0,15,0,23,7,35,41,31,13,18,0,0,54
Gujarat,2003,Rape,01. Rape,205,15,216,4,24,9,231,0,25,29,1939,1956,236,216,229,0,0,2172
Haryana,2003,Rape,01. Rape,269,9,288,0,94,47,297,0,19,10,496,571,353,288,363,0,0,859
Himachal Pradesh,2003,Rape,01. Rape,94,2,106,0,28,18,108,0,45,45,376,392,126,106,122,0,0,498
Jammu & Kashmir,2003,Rape,01. Rape,79,1,168,3,9,21,169,0,69,48,664,587,211,168,88,0,0,755
Jharkhand,2003,Rape,01. Rape,395,70,509,7,131,22,579,0,453,342,2095,2277,712,509,526,158,0,2628
Karnataka,2003,Rape,01. Rape,248,8,268,1,39,29,276,7,104,95,1163,1183,321,268,287,0,0,1451
Kerala,2003,Rape,01. Rape,185,6,409,3,45,24,415,7,480,532,2629,2458,394,409,230,5,0,2862
Lakshadweep,2003,Rape,01. Rape,0,0,1,0,0,0,1,0,2,1,1,0,2,1,0,0,0,1
Madhya Pradesh,2003,Rape,01. Rape,2110,44,2580,54,604,90,2624,0,209,185,6754,6942,2738,2580,2714,0,0,9522
Maharashtra,2003,Rape,01. Rape,994,34,1203,29,190,17,1237,0,259,245,9964,9974,1268,1203,1184,0,0,11177
Manipur,2003,Rape,01. Rape,2,9,3,0,1,0,12,0,36,30,46,46,18,3,3,0,0,49
Meghalaya,2003,Rape,01. Rape,2,4,18,0,2,0,22,0,96,78,264,250,40,18,4,0,0,268
Mizoram,2003,Rape,01. Rape,4,3,69,0,18,0,72,0,14,32,153,106,54,69,22,0,0,175
Nagaland,2003,Rape,01. Rape,2,4,12,1,7,0,16,0,18,20,57,55,14,12,9,0,0,67
Odisha,2003,Rape,01. Rape,416,13,707,0,123,53,720,0,233,281,2682,2514,725,707,539,0,0,3221
Puducherry,2003,Rape,01. Rape,0,0,3,0,1,0,3,1,5,7,18,16,2,3,1,0,0,19
Punjab,2003,Rape,01. Rape,210,18,273,2,108,31,291,1,131,74,182,229,380,273,318,0,0,502
Rajasthan,2003,Rape,01. Rape,636,9,649,12,283,349,658,0,144,101,1954,2236,1050,649,919,0,0,2885
Sikkim,2003,Rape,01. Rape,2,0,8,0,1,0,8,0,4,2,7,2,10,8,3,0,0,10
Tamil Nadu,2003,Rape,01. Rape,340,20,477,1,115,23,497,2,303,269,1330,1309,557,477,455,0,1,1786
Tripura,2003,Rape,01. Rape,37,16,99,0,14,0,115,0,67,68,205,157,114,99,51,0,0,256
Uttar Pradesh,2003,Rape,01. Rape,654,34,719,6,682,112,753,0,100,54,4780,5403,911,719,1336,0,0,6122
Uttarakhand,2003,Rape,01. Rape,43,7,86,0,32,10,93,0,18,14,170,159,107,86,75,0,0,245
West Bengal,2003,Rape,01. Rape,394,53,784,0,113,15,837,1,724,575,5764,5487,1002,784,507,0,0,6271
Andaman & Nicobar Islands,2004,Rape,01. Rape,4,0,4,0,0,0,4,0,7,1,29,29,10,4,4,0,0,33
Andhra Pradesh,2004,Rape,01. Rape,752,43,755,7,137,47,798,4,613,446,1979,2120,1016,755,889,0,0,2875
Arunachal Pradesh,2004,Rape,01. Rape,1,8,27,0,4,0,35,0,22,15,361,339,42,27,5,0,0,366
Assam,2004,Rape,01. Rape,455,173,793,28,127,72,966,0,1436,1303,2704,2521,1171,793,582,0,0,3314
Bihar,2004,Rape,01. Rape,652,165,656,0,97,137,821,0,1206,774,3231,3324,1390,656,749,0,0,3980
Chandigarh,2004,Rape,01. Rape,13,2,17,0,0,1,19,0,1,2,48,44,19,17,13,0,0,61
Chhattisgarh,2004,Rape,01. Rape,511,11,941,441,240,26,952,1,78,88,2986,3237,969,941,751,0,0,4178
Dadra & Nagar Haveli,2004,Rape,01. Rape,5,0,5,0,0,0,5,0,3,1,7,7,7,5,5,0,0,12
Daman & Diu,2004,Rape,01. Rape,0,0,3,0,0,0,3,0,0,2,6,3,1,3,0,0,0,6
Delhi,2004,Rape,01. Rape,499,20,432,0,98,73,452,3,204,181,1375,1540,551,432,597,0,0,1972
Goa,2004,Rape,01. Rape,10,6,33,1,7,0,39,0,21,23,50,35,37,33,17,0,0,68
Gujarat,2004,Rape,01. Rape,232,17,307,3,40,14,324,0,26,25,1971,1939,339,307,272,0,0,2246
Haryana,2004,Rape,01. Rape,222,5,337,0,93,41,342,0,22,19,518,496,386,337,315,0,0,833
Himachal Pradesh,2004,Rape,01. Rape,81,6,133,0,26,24,139,0,35,45,402,376,153,133,107,0,0,509
Jammu & Kashmir,2004,Rape,01. Rape,92,11,175,4,12,20,186,0,81,69,731,664,218,175,104,0,0,839
Jharkhand,2004,Rape,01. Rape,395,70,509,7,131,22,579,0,649,453,1913,2095,797,509,526,158,0,2446
Karnataka,2004,Rape,01. Rape,297,5,270,5,64,14,275,4,100,104,1066,1163,291,270,361,1,2,1432
Kerala,2004,Rape,01. Rape,260,13,390,6,56,22,403,6,529,480,2696,2629,480,390,316,1,0,3018
Lakshadweep,2004,Rape,01. Rape,0,0,2,0,1,0,2,0,0,2,1,0,0,2,1,0,0,2
Madhya Pradesh,2004,Rape,01. Rape,2130,31,2815,37,669,83,2846,0,155,209,6733,6754,2875,2815,2799,0,0,9569
Maharashtra,2004,Rape,01. Rape,1033,29,1261,17,227,23,1290,0,334,259,9948,9964,1388,1261,1260,0,0,11225
Manipur,2004,Rape,01. Rape,2,11,2,0,0,0,13,0,54,36,46,46,31,2,2,0,0,48
Meghalaya,2004,Rape,01. Rape,2,6,24,0,2,0,30,0,120,96,284,264,54,24,4,0,0,288
Mizoram,2004,Rape,01. Rape,20,5,15,1,100,0,20,0,14,14,47,153,20,15,120,0,0,168
Nagaland,2004,Rape,01. Rape,0,0,29,0,40,0,29,0,7,18,46,57,18,29,40,0,0,86
Odisha,2004,Rape,01. Rape,550,20,679,0,116,31,699,0,273,233,2695,2682,770,679,666,0,0,3361
Puducherry,2004,Rape,01. Rape,2,0,4,0,2,0,4,0,5,5,18,18,4,4,4,0,0,22
Punjab,2004,Rape,01. Rape,204,24,333,2,93,24,357,1,139,131,216,182,390,333,297,0,0,515
Rajasthan,2004,Rape,01. Rape,545,9,736,15,208,324,745,0,113,144,1922,1954,1038,736,753,0,0,2690
Sikkim,2004,Rape,01. Rape,1,0,2,1,2,0,2,0,5,4,5,7,3,2,3,0,0,9
Tamil Nadu,2004,Rape,01. Rape,317,17,570,21,107,40,587,4,290,303,1455,1330,618,570,424,0,0,1900
Tripura,2004,Rape,01. Rape,53,8,133,0,23,3,141,0,83,67,262,205,160,133,76,0,0,338
Uttar Pradesh,2004,Rape,01. Rape,622,75,1163,14,660,133,1238,0,126,100,4647,4780,1397,1163,1282,0,0,5943
Uttarakhand,2004,Rape,01. Rape,30,9,90,0,41,13,99,0,21,18,189,170,115,90,71,0,0,260
West Bengal,2004,Rape,01. Rape,582,126,1244,0,135,7,1370,0,822,724,6291,5764,1475,1244,717,0,0,7008
Andaman & Nicobar Islands,2005,Rape,01. Rape,3,0,8,0,1,0,8,0,3,7,33,29,4,8,4,0,0,37
Andhra Pradesh,2005,Rape,01. Rape,667,17,933,14,154,70,950,0,528,613,2077,1979,935,933,821,0,0,2912
Arunachal Pradesh,2005,Rape,01. Rape,4,9,32,0,15,0,41,0,16,22,374,361,35,32,19,0,0,393
Assam,2005,Rape,01. Rape,367,163,867,50,170,81,1030,1,1562,1436,2984,2704,1238,867,537,0,0,3571
Bihar,2005,Rape,01. Rape,692,86,823,1,145,129,909,0,1315,1206,3216,3231,1147,823,837,0,0,4054
Chandigarh,2005,Rape,01. Rape,10,0,20,0,4,3,20,0,11,1,54,48,33,20,14,0,0,68
Chhattisgarh,2005,Rape,01. Rape,603,13,919,9,338,5,932,3,119,78,2955,2986,990,919,941,0,9,3905
Dadra & Nagar Haveli,2005,Rape,01. Rape,6,0,6,0,0,0,6,0,2,3,7,7,5,6,6,0,0,13
Daman & Diu,2005,Rape,01. Rape,3,0,0,0,0,0,0,0,2,0,3,6,2,0,3,0,0,6
Delhi,2005,Rape,01. Rape,745,17,570,0,140,3,587,1,268,204,1060,1375,658,570,885,0,3,1945
Goa,2005,Rape,01. Rape,13,4,18,1,7,1,22,0,18,21,47,50,20,18,20,0,0,68
Gujarat,2005,Rape,01. Rape,186,19,286,3,37,4,305,1,40,26,2031,1971,324,286,223,0,0,2257
Haryana,2005,Rape,01. Rape,229,4,375,0,96,61,379,0,43,22,568,518,461,375,325,0,0,893
Himachal Pradesh,2005,Rape,01. Rape,121,2,123,2,24,14,125,0,37,35,378,402,141,123,145,0,0,525
Jammu & Kashmir,2005,Rape,01. Rape,111,7,174,0,5,30,181,0,71,81,789,731,201,174,116,0,0,905
Jharkhand,2005,Rape,01. Rape,411,82,595,12,117,29,677,0,696,649,1968,1913,753,595,528,0,0,2508
Karnataka,2005,Rape,01. Rape,284,7,296,0,87,19,303,5,115,100,991,1066,343,296,371,0,1,1362
Kerala,2005,Rape,01. Rape,286,10,451,4,48,22,461,0,524,529,2809,2696,478,451,334,0,0,3147
Lakshadweep,2005,Rape,01. Rape,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Madhya Pradesh,2005,Rape,01. Rape,2005,40,2780,117,702,68,2820,0,188,155,6689,6733,2921,2780,2707,0,0,9513
Maharashtra,2005,Rape,01. Rape,991,28,1441,13,177,17,1469,7,386,334,10208,9948,1545,1441,1168,0,0,11389
Manipur,2005,Rape,01. Rape,1,7,7,0,0,0,14,0,65,54,52,46,25,7,1,0,0,53
Meghalaya,2005,Rape,01. Rape,1,12,37,0,2,1,49,0,133,120,318,284,63,37,3,0,0,321
Mizoram,2005,Rape,01. Rape,5,2,33,5,15,0,35,0,16,14,55,47,37,33,20,0,0,80
Nagaland,2005,Rape,01. Rape,10,8,9,0,15,0,17,0,7,7,30,46,17,9,25,0,0,55
Odisha,2005,Rape,01. Rape,445,8,681,0,114,51,689,1,331,273,2817,2695,799,681,559,0,0,3376
Puducherry,2005,Rape,01. Rape,1,0,6,0,3,0,6,0,5,5,20,18,6,6,4,0,0,24
Punjab,2005,Rape,01. Rape,171,27,328,1,71,41,355,1,140,139,301,216,398,328,242,0,0,544
Rajasthan,2005,Rape,01. Rape,600,5,772,27,227,279,777,0,50,113,1840,1922,993,772,827,0,0,2694
Sikkim,2005,Rape,01. Rape,0,2,13,0,3,0,15,0,8,5,15,5,18,13,3,0,0,18
Tamil Nadu,2005,Rape,01. Rape,469,12,507,14,141,67,519,1,274,290,1338,1455,571,507,610,0,0,1962
Tripura,2005,Rape,01. Rape,86,17,144,0,35,0,161,0,84,83,285,262,162,144,121,0,0,406
Uttar Pradesh,2005,Rape,01. Rape,631,66,1029,28,657,132,1095,0,116,126,4360,4647,1217,1029,1288,0,0,5676
Uttarakhand,2005,Rape,01. Rape,40,8,119,3,21,8,127,0,19,21,244,189,133,119,61,0,0,308
West Bengal,2005,Rape,01. Rape,473,75,1649,0,74,3,1724,0,781,822,7393,6291,1686,1649,547,0,0,7940
Andaman & Nicobar Islands,2006,Rape,01. Rape,2,0,7,0,1,0,7,0,2,3,37,33,6,7,3,0,0,40
Andhra Pradesh,2006,Rape,01. Rape,696,18,821,4,154,79,839,0,659,528,2044,2077,1049,821,850,0,0,2898
Arunachal Pradesh,2006,Rape,01. Rape,1,5,29,1,1,0,34,0,19,16,400,374,37,29,2,0,0,403
Assam,2006,Rape,01. Rape,410,164,794,24,176,91,958,0,1757,1562,3168,2984,1244,794,586,0,0,3778
Bihar,2006,Rape,01. Rape,678,146,772,0,178,150,918,0,1479,1315,3132,3216,1232,772,856,0,0,3988
Chandigarh,2006,Rape,01. Rape,8,1,20,0,9,2,21,0,7,11,57,54,19,20,17,0,0,74
Chhattisgarh,2006,Rape,01. Rape,478,23,994,76,235,3,1017,1,93,119,3160,2955,995,994,713,0,0,3949
Dadra & Nagar Haveli,2006,Rape,01. Rape,4,0,3,0,1,0,3,0,5,2,5,7,6,3,5,0,0,10
Daman & Diu,2006,Rape,01. Rape,2,0,3,0,1,0,3,0,2,2,3,3,3,3,3,0,0,6
Delhi,2006,Rape,01. Rape,456,13,798,0,152,3,811,0,72,268,1250,1060,623,798,608,0,5,1858
Goa,2006,Rape,01. Rape,6,7,14,0,0,0,21,0,18,18,55,47,21,14,6,0,0,61
Gujarat,2006,Rape,01. Rape,157,10,332,4,50,6,342,2,44,40,2152,2031,354,332,207,0,0,2363
Haryana,2006,Rape,01. Rape,241,3,497,0,97,67,500,0,84,43,727,568,608,497,338,0,0,1065
Himachal Pradesh,2006,Rape,01. Rape,75,1,96,1,27,17,97,0,36,37,371,378,113,96,102,0,0,474
Jammu & Kashmir,2006,Rape,01. Rape,108,4,211,2,13,22,215,0,84,71,877,789,250,211,121,0,0,1000
Jharkhand,2006,Rape,01. Rape,654,49,599,2,185,38,648,0,809,696,1726,1968,799,599,839,0,0,2567
Karnataka,2006,Rape,01. Rape,288,12,351,21,51,21,363,5,126,115,982,991,400,351,339,0,0,1342
Kerala,2006,Rape,01. Rape,296,31,495,1,58,20,526,0,578,524,2949,2809,601,495,354,0,1,3304
Lakshadweep,2006,Rape,01. Rape,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Madhya Pradesh,2006,Rape,01. Rape,1877,34,2779,13,748,81,2813,0,194,188,6830,6689,2900,2779,2625,0,0,9468
Maharashtra,2006,Rape,01. Rape,884,29,1351,9,163,19,1380,0,487,386,10503,10208,1500,1351,1047,0,0,11559
Manipur,2006,Rape,01. Rape,1,12,2,1,0,0,14,0,91,65,52,52,40,2,1,0,0,54
Meghalaya,2006,Rape,01. Rape,12,21,35,1,2,1,56,0,150,133,338,318,74,35,14,0,0,353
Mizoram,2006,Rape,01. Rape,6,9,69,0,68,0,78,0,10,16,50,55,72,69,74,0,0,124
Nagaland,2006,Rape,01. Rape,1,0,20,1,11,0,20,0,10,7,37,30,23,20,12,0,0,50
Odisha,2006,Rape,01. Rape,365,9,790,0,135,37,799,0,480,331,3107,2817,985,790,500,0,0,3607
Puducherry,2006,Rape,01. Rape,1,0,6,0,1,0,6,0,8,5,24,20,9,6,2,0,0,26
Punjab,2006,Rape,01. Rape,178,29,373,0,90,38,402,1,141,140,406,301,442,373,268,0,0,674
Rajasthan,2006,Rape,01. Rape,499,10,740,16,262,306,750,0,79,50,1803,1840,1085,740,761,0,0,2580
Sikkim,2006,Rape,01. Rape,1,0,16,0,1,0,16,0,12,8,29,15,20,16,2,0,0,31
Tamil Nadu,2006,Rape,01. Rape,358,9,413,4,108,19,422,2,288,274,1281,1338,457,413,466,0,0,1751
Tripura,2006,Rape,01. Rape,52,14,177,0,25,0,191,0,82,84,385,285,189,177,77,0,0,462
Uttar Pradesh,2006,Rape,01. Rape,601,89,1094,8,637,144,1183,0,103,116,4208,4360,1314,1094,1238,0,0,5454
Uttarakhand,2006,Rape,01. Rape,68,12,128,1,29,6,140,0,20,19,274,244,147,128,97,0,0,372
West Bengal,2006,Rape,01. Rape,747,90,1520,0,137,3,1610,1,898,781,8029,7393,1731,1520,884,0,0,8913
Andaman & Nicobar Islands,2007,Rape,01. Rape,2,0,3,0,1,0,3,0,2,2,37,37,3,3,3,0,0,40
Andhra Pradesh,2007,Rape,01. Rape,834,25,1066,3,128,86,1091,1,551,659,2145,2044,1070,1066,962,0,0,3110
Arunachal Pradesh,2007,Rape,01. Rape,2,11,29,0,5,0,40,0,27,19,422,400,48,29,7,0,0,429
Assam,2007,Rape,01. Rape,466,216,904,28,191,109,1120,0,1965,1757,3387,3168,1437,904,657,0,0,4072
Bihar,2007,Rape,01. Rape,659,197,1103,1,167,317,1300,0,1417,1479,3408,3132,1555,1103,826,0,0,4235
Chandigarh,2007,Rape,01. Rape,8,1,19,0,11,0,20,0,9,7,57,57,22,19,19,0,0,76
Chhattisgarh,2007,Rape,01. Rape,506,7,939,4,162,22,946,0,107,93,3427,3160,982,939,668,0,0,4099
Dadra & Nagar Haveli,2007,Rape,01. Rape,2,0,6,0,0,0,6,0,6,5,9,5,7,6,2,0,0,11
Daman & Diu,2007,Rape,01. Rape,2,0,1,0,0,0,1,0,2,2,2,3,1,1,2,0,0,4
Delhi,2007,Rape,01. Rape,426,12,541,0,163,11,553,2,104,72,1202,1250,598,541,589,0,0,1791
Goa,2007,Rape,01. Rape,5,1,15,0,1,0,16,0,22,18,64,55,20,15,6,0,0,70
Gujarat,2007,Rape,01. Rape,150,17,289,3,50,4,306,2,48,44,2238,2152,316,289,200,0,0,2441
Haryana,2007,Rape,01. Rape,260,7,432,0,114,69,439,0,64,84,785,727,488,432,374,0,0,1159
Himachal Pradesh,2007,Rape,01. Rape,69,4,105,3,14,28,109,0,58,36,390,371,159,105,83,0,0,476
Jammu & Kashmir,2007,Rape,01. Rape,129,10,238,0,8,34,248,0,90,84,978,877,288,238,137,0,0,1115
Jharkhand,2007,Rape,01. Rape,535,60,692,8,318,56,752,0,856,809,1557,1726,855,692,853,0,0,2418
Karnataka,2007,Rape,01. Rape,235,20,364,3,59,24,384,7,146,126,1049,982,436,364,294,0,1,1346
Kerala,2007,Rape,01. Rape,448,19,546,5,74,15,565,0,510,578,2968,2949,512,546,522,0,0,3495
Lakshadweep,2007,Rape,01. Rape,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,2
Madhya Pradesh,2007,Rape,01. Rape,1950,44,2898,6,688,58,2942,0,204,194,7084,6830,3010,2898,2638,0,0,9728
Maharashtra,2007,Rape,01. Rape,754,47,1404,10,151,16,1451,1,470,487,10992,10503,1451,1404,905,0,0,11907
Manipur,2007,Rape,01. Rape,2,8,2,1,0,0,10,0,101,91,51,52,20,2,2,0,0,54
Meghalaya,2007,Rape,01. Rape,7,10,32,0,8,1,42,0,189,150,355,338,82,32,15,0,0,370
