INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long
I182070786,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,A1,95,2018,9,Monday,11,Part Three,ATLANTIC AVE,42.357875,-71.051329
I182070785,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C11,416,2018,9,Sunday,15,Part Three,FULLER ST,42.28202294,-71.07125917
I182070784,3301,Verbal Disputes,VERBAL DISPUTE,B2,909,2018,9,Monday,10,Part Three,WHITTIER ST,42.33380238,-71.08880867
I182070783,3207,Property Found,PROPERTY - FOUND,B2,289,2018,9,Monday,10,Part Three,TREMONT ST,42.33402461,-71.09039049
I182070782,561,Other Burglary,BURGLARY - OTHER - ATTEMPT,E18,495,2018,9,Monday,10,Part One,GREENWOOD AVE,42.26597955,-71.1217959
I182070781,2914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,E18,485,2018,8,Tuesday,0,Part Two,RIVER ST,42.26361745,-71.10237387
I182070780,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,449,2018,9,Monday,9,Part Three,ASPINWALL RD,42.29125586,-71.07475092
I182070779,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,600,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.3375009,-71.09583094
I182070779,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,600,2018,9,Monday,10,Part Two,HUNTINGTON AVE,42.3375009,-71.09583094
I182070779,2405,Disorderly Conduct,DISORDERLY CONDUCT,B2,600,2018,9,Monday,10,Part Two,HUNTINGTON AVE,42.3375009,-71.09583094
I182070779,2610,Other,TRESPASSING,B2,600,2018,9,Monday,10,Part Two,HUNTINGTON AVE,42.3375009,-71.09583094
I182070778,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,904,2018,9,Monday,9,Part Three,WHEATLEY WAY,42.32935767,-71.07974589
I182070777,619,Larceny,LARCENY ALL OTHERS,C11,388,2018,8,Thursday,13,Part One,ADAMS ST,42.27230624,-71.06721386
I182070776,3410,Towed,TOWED MOTOR VEHICLE,D14,794,2018,9,Monday,10,Part Three,GREYLOCK RD,42.35042708,-71.13496065
I182070775,3115,Investigate Person,INVESTIGATE PERSON,C6,214,2018,9,Monday,9,Part Three,W BROADWAY,42.33793018,-71.04947397
I182070774,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,167,2018,9,Monday,9,Part Two,HARRISON AVE,42.33954199,-71.06940877
I182070773,3301,Verbal Disputes,VERBAL DISPUTE,C11,342,2018,9,Monday,9,Part Three,TOPLIFF ST,42.30375506,-71.06839375
I182070771,1109,Fraud,FRAUD - WIRE,D4,142,2018,9,Monday,9,Part Two,NEWBURY ST,42.34840576,-71.08688339
I182070770,3201,Property Lost,PROPERTY - LOST,B2,265,2018,9,Monday,1,Part Three,PERRIN ST,42.3218854,-71.07906279
I182070769,3115,Investigate Person,INVESTIGATE PERSON,D14,771,2018,8,Thursday,12,Part Three,PEACEABLE ST,42.34793886,-71.15229604
I182070768,3201,Property Lost,PROPERTY - LOST,D4,165,2018,9,Monday,9,Part Three,ALBANY ST,42.34255919,-71.06270824
I182070766,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,623,2018,9,Sunday,20,Part One,COMMONWEALTH AVE,42.34880461,-71.09392554
I182070765,1402,Vandalism,VANDALISM,D4,131,2018,9,Monday,5,Part Two,BEACON ST,42.35393998,-71.07802992
I182070764,3115,Investigate Person,INVESTIGATE PERSON,B2,909,2018,9,Monday,8,Part Three,RUGGLES ST,42.33445761,-71.088061
I182070763,1402,Vandalism,VANDALISM,B3,437,2018,9,Monday,7,Part Two,NORFOLK ST,42.28996858,-71.0723254
I182070761,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,940,2018,9,Monday,7,Part Three,GARFIELD AVE,42.24235156,-71.12079258
I182070760,3301,Verbal Disputes,VERBAL DISPUTE,B2,263,2018,9,Monday,7,Part Three,HUCKINS ST,42.32368852,-71.07519735
I182070759,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E5,562,2018,9,Sunday,16,Part One,WASHINGTON ST,42.28788933,-71.12658585
I182070758,3115,Investigate Person,INVESTIGATE PERSON,B3,445,2018,9,Monday,7,Part Three,GREENWOOD ST,42.29716347,-71.07954018
I182070757,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A15,50,2018,9,Monday,6,Part One,CAMBRIDGE ST,42.38356867,-71.0753672
I182070757,2403,Disorderly Conduct,DISTURBING THE PEACE,A15,50,2018,9,Monday,6,Part Two,CAMBRIDGE ST,42.38356867,-71.0753672
I182070757,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A15,50,2018,9,Monday,6,Part Three,CAMBRIDGE ST,42.38356867,-71.0753672
I182070755,3301,Verbal Disputes,VERBAL DISPUTE,B3,432,2018,9,Monday,6,Part Three,MASCOT ST,42.28633596,-71.08500149
I182070752,3114,Investigate Property,INVESTIGATE PROPERTY,A1,120,2018,9,Monday,6,Part Three,ARLINGTON ST,42.35061995,-71.07009458
I182070751,3115,Investigate Person,INVESTIGATE PERSON,E13,652,2018,8,Wednesday,10,Part Three,ARBORWAY,42.3056348,-71.11982238
I182070749,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,123,2018,9,Monday,4,Part Three,HARVARD ST,42.34993442,-71.06230334
I182070747,3115,Investigate Person,INVESTIGATE PERSON,E18,480,2018,9,Monday,3,Part Three,FAIRLAWN AVE,42.26788791,-71.10067012
I182070746,1402,Vandalism,VANDALISM,C11,462,2018,8,Friday,7,Part Two,BULLARD ST,42.3021878,-71.07365004
I182070741,301,Robbery,ROBBERY - STREET,D14,805,2018,9,Monday,3,Part One,PORTSMOUTH ST,42.36053257,-71.14426332
I182070741,423,Aggravated Assault,ASSAULT - AGGRAVATED,D14,805,2018,9,Monday,3,Part One,PORTSMOUTH ST,42.36053257,-71.14426332
I182070739,3160,Fire Related Reports,"FIRE REPORT - CAR, BRUSH, ETC.",B3,446,2018,9,Monday,1,Part Three,NORWELL ST,42.29828416,-71.07869447
I182070739,900,Arson,ARSON,B3,446,2018,9,Monday,1,Other,NORWELL ST,42.29828416,-71.07869447
I182070738,2610,Other,TRESPASSING,B3,446,2018,9,Monday,3,Part Two,NORWELL ST,42.29828416,-71.07869447
I182070737,3301,Verbal Disputes,VERBAL DISPUTE,D4,594,2018,9,Monday,2,Part Three,HUNTINGTON AVE,42.3420185,-71.08566213
I182070736,3301,Verbal Disputes,VERBAL DISPUTE,B3,472,2018,9,Monday,0,Part Three,WOODHAVEN ST,42.27105479,-71.09753898
I182070734,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,111,2018,9,Monday,1,Part One,TREMONT ST,42.35428377,-71.06380404
I182070733,3115,Investigate Person,INVESTIGATE PERSON,D4,620,2018,9,Monday,2,Part Three,BOYLSTON ST,42.34710196,-71.08841746
I182070732,3125,Warrant Arrests,WARRANT ARREST,A1,121,2018,9,Monday,2,Part Three,FAYETTE ST,42.34943694,-71.06650735
I182070731,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,122,2018,9,Monday,1,Part Three,TREMONT ST,42.34942864,-71.06536641
I182070730,3115,Investigate Person,INVESTIGATE PERSON,E18,512,2018,9,Monday,2,Part Three,BEACON ST,42.253372,-71.11654302
I182070727,3114,Investigate Property,INVESTIGATE PROPERTY,C11,823,2018,9,Monday,2,Part Three,WHITBY TER,42.3143418,-71.06050395
I182070726,3301,Verbal Disputes,VERBAL DISPUTE,B2,265,2018,9,Monday,1,Part Three,WAVERLY ST,42.32037671,-71.07903447
I182070725,801,Simple Assault,ASSAULT - SIMPLE,D14,752,2018,9,Monday,2,Part Two,WASHINGTON ST,42.35042609,-71.16637332
I182070723,3301,Verbal Disputes,VERBAL DISPUTE,B3,455,2018,9,Monday,2,Part Three,LYNNVILLE TER,42.30256638,-71.0782904
I182070722,3002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,B2,276,2018,9,Monday,1,Part Three,EUSTIS ST,42.33166164,-71.08147827
